IdSucursal;NroRemito;ItemRemito;IDCodProd;Cantidad;UnidadMedida
2;29145;1;110;2;C/U
2;29146;1;240;1;C/U
2;29147;1;75;1;C/U
2;29148;1;90;1;C/U
2;29148;2;75;1;C/U
2;29149;1;110;4;C/U
2;29150;1;110;1;C/U
2;29151;1;75;1;C/U
2;29153;1;180;3;C/U
2;29154;1;65;3;C/U
2;29156;1;75;1;C/U
2;29156;2;110;1;C/U
2;29156;3;180;2;C/U
2;29157;1;180;4;C/U
2;29158;1;65;6;C/U
2;29158;2;100SP;1;C/U
2;29159;1;75;1;C/U
2;29160;1;100SP;3;C/U
2;29161;1;100SP;6;C/U
2;29162;1;90;16;C/U
2;29162;2;75;6;C/U
2;29163;1;65;1;C/U
2;29201;1;110;1;C/U
2;29203;1;100SP;1;C/U
2;29203;2;45FKA;1;C/U
2;29205;1;110;1;C/U
2;29208;1;75;2;C/U
2;29208;2;65;1;C/U
2;29208;3;1004X4;1;C/U
2;29209;1;65;1;C/U
2;29210;1;65;1;C/U
2;29212;1;45FKA;1;C/U
2;29214;1;65;1;C/U
2;29215;1;75;1;C/U
2;29216;1;75;1;C/U
2;29217;1;45FKA;1;C/U
2;29217;2;65;1;C/U
2;29217;3;75;1;C/U
2;29222;1;110;1;C/U
2;29222;2;100SP;1;C/U
2;29227;1;65;1;C/U
2;29227;2;75;1;C/U
2;29231;1;45FIT;1;C/U
2;29231;2;Q660;1;C/U
2;29233;1;65;1;C/U
2;29235;1;65;1;C/U
2;29251;1;110;2;C/U
2;29251;2;65;1;C/U
2;29252;1;180;2;C/U
2;29254;1;65;5;C/U
2;29254;2;45FKA;3;C/U
2;29255;1;75;2;C/U
2;29256;1;110;2;C/U
2;29258;1;180;4;C/U
2;29259;1;65;5;C/U
2;29259;2;45FKA;3;C/U
2;29261;1;75;3;C/U
2;29262;1;75;4;C/U
2;29263;1;90;4;C/U
2;29263;2;75;5;C/U
2;29264;1;65;1;C/U
2;29267;1;45FKA;1;C/U
2;29268;1;180;2;C/U
2;29270;1;75;2;C/U
2;29271;1;180;4;C/U
2;29273;1;90;8;C/U
2;29273;2;65;4;C/U
2;29275;1;65;2;C/U
2;29276;1;65;9;C/U
2;29276;2;75;2;C/U
2;29278;1;100SP;1;C/U
2;29279;1;180;2;C/U
2;29280;1;180;2;C/U
2;29282;1;180;1;C/U
2;29283;1;75;4;C/U
2;29283;2;65;5;C/U
2;29283;3;100SP;4;C/U
2;29284;1;NP7AB;1;C/U
2;29284;2;65;1;C/U
2;29285;1;180;2;C/U
2;29286;1;180;2;C/U
2;29286;2;110;1;C/U
2;29286;3;75;1;C/U
2;29287;1;180;4;C/U
2;29288;1;90;7;C/U
2;29288;2;75;3;C/U
2;29289;1;180;1;C/U
2;29290;1;75;2;C/U
2;29290;2;65;1;C/U
2;29292;1;180;3;C/U
2;29293;1;180;2;C/U
2;29294;1;180;2;C/U
2;29294;2;90;1;C/U
2;29294;3;75;1;C/U
2;29296;1;180;2;C/U
2;29298;1;180;6;C/U
2;29299;1;65;2;C/U
2;29300;1;180;6;C/U
2;29301;1;RESKG;17787;KG
2;29301;2;RESKG;10035;KG
2;29302;1;RESKG;15587;KG
2;29302;2;RESKG;4146;KG
2;29303;1;RESKG;19470;KG
2;29303;2;RESKG;8852;KG
2;29305;1;RESKG;16364;KG
2;29305;2;RESKG;7852;KG
2;29306;1;RESKG;8252;KG
2;29306;2;RESKG;11238;KG
2;29307;1;RESKG;15841;KG
2;29310;1;RESKG;18107;KG
2;29311;1;RESKG;9300;KG
2;29312;1;RESKG;10275;KG
2;29312;2;RESKG;18327;KG
2;29314;1;RESKG;7892;KG
2;29314;2;RESKG;18587;KG
2;29315;1;RESKG;4066;KG
2;29315;2;RESKG;21513;KG
2;29316;1;RESKG;20810;KG
2;29316;2;RESKG;7952;KG
2;29318;1;PB;3496;KG
2;29318;2;RESKG;16240;KG
2;29318;3;RESKG;15180;KG
2;29320;1;RESKG;27402;KG
2;29321;1;RESKG;7860;KG
2;29321;2;RESKG;19250;KG
2;29322;1;REZAGO;12551;KG
2;29323;1;RESKG;12238;KG
2;29323;2;RESKG;6109;KG
2;29326;1;RESKG;31840;KG
2;29327;1;RESKG;26019;KG
2;29328;1;RESKG;17571;KG
2;29328;2;RESKG;11340;KG
2;29329;1;RESKG;10018;KG
2;29351;1;ON65;1;C/U
2;29352;1;65;1;C/U
2;29354;1;75;1;C/U
2;29355;1;180;2;C/U
2;29356;1;45FIT;1;C/U
2;29357;1;65;1;C/U
2;29358;1;45CRV;1;C/U
2;29358;2;75;1;C/U
2;29359;1;100SP;1;C/U
2;29360;1;65;1;C/U
2;29360;2;110;1;C/U
2;29361;1;75;1;C/U
2;29364;1;45FKA;1;C/U
2;29365;1;ON65;1;C/U
2;29366;1;65;1;C/U
2;29367;1;110;1;C/U
2;29368;1;ON75;1;C/U
2;29369;1;110;4;C/U
2;29370;1;65;1;C/U
2;29371;1;65;1;C/U
2;29372;1;75;1;C/U
2;29373;1;110;2;C/U
2;29373;2;75;1;C/U
2;29374;1;100SP;1;C/U
2;29375;1;65;2;C/U
2;29376;1;65;1;C/U
2;29377;1;ON75;1;C/U
2;29379;1;75;1;C/U
2;29380;1;75;2;C/U
2;29380;2;65;1;C/U
2;29381;1;45FKA;2;C/U
2;29381;2;65;1;C/U
2;29381;3;ON65;2;C/U
2;29381;4;ON75;1;C/U
2;29382;1;Q660;1;C/U
2;29384;1;75;1;C/U
2;29385;1;110;2;C/U
2;29386;1;110;4;C/U
2;29387;1;75;1;C/U
2;29387;2;180;1;C/U
2;29388;1;90;1;C/U
2;29389;1;110;2;C/U
2;29390;1;180;2;C/U
2;29391;1;75;1;C/U
2;29392;1;180;4;C/U
2;29392;2;110;4;C/U
2;29392;3;75;2;C/U
2;29393;1;ON65;1;C/U
2;29394;1;65;1;C/U
2;29395;1;110;1;C/U
2;29396;1;110;4;C/U
2;29396;2;180;1;C/U
2;29397;1;ON65;1;C/U
2;29398;1;75;2;C/U
2;29399;1;180;2;C/U
2;29400;1;75;1;C/U
2;29401;1;75;1;C/U
2;29406;1;180;2;C/U
2;29407;1;65;2;C/U
2;29407;2;ON45;1;C/U
2;29409;1;65;1;C/U
2;29409;2;75;1;C/U
2;29410;1;100SP;1;C/U
2;29412;1;90;2;C/U
2;29413;1;75;1;C/U
2;29414;1;65;1;C/U
2;29451;1;180;2;C/U
2;29452;1;110;3;C/U
2;29452;2;180;1;C/U
2;29453;1;65;1;C/U
2;29453;2;75;1;C/U
2;29454;1;180;1;C/U
2;29455;1;65;1;C/U
2;29455;2;75;1;C/U
2;29456;1;180;1;C/U
2;29457;1;75;1;C/U
2;29458;1;1004X4;1;C/U
2;29459;1;45FKA;1;C/U
2;29459;2;65;2;C/U
2;29459;3;75;1;C/U
2;29461;1;65;1;C/U
2;29462;1;75;1;C/U
2;29462;2;65;1;C/U
2;29551;1;100SP;2;C/U
2;29551;2;90;2;C/U
2;29551;3;65;2;C/U
2;29552;1;100SP;1;C/U
2;29552;2;65;1;C/U
2;29552;3;45FKA;1;C/U
2;29553;1;75;1;C/U
2;29554;1;75;5;C/U
2;29554;2;65;1;C/U
2;29554;3;45FKA;1;C/U
2;29555;1;180;2;C/U
2;29556;1;110;4;C/U
2;29556;2;90;5;C/U
2;29556;3;75;22;C/U
2;29556;4;65;4;C/U
2;29556;5;45FKA;1;C/U
2;29557;1;180;4;C/U
2;29557;2;75;3;C/U
2;29557;3;45FKA;1;C/U
2;29558;1;75;2;C/U
2;29558;2;65;1;C/U
2;29559;1;65;1;C/U
2;29559;2;75;1;C/U
2;29561;1;75;1;C/U
2;29563;1;75;4;C/U
2;29563;2;90;1;C/U
2;29566;1;100SP;1;C/U
2;29566;2;75;1;C/U
2;29567;1;110;3;C/U
2;29568;1;180;7;C/U
2;29569;1;180;2;C/U
2;29570;1;180;1;C/U
2;29571;1;180;1;C/U
2;29571;2;75;1;C/U
2;29572;1;110;2;C/U
2;29572;2;75;1;C/U
2;29573;1;180;5;C/U
2;29573;2;110;3;C/U
2;29573;3;100SP;1;C/U
2;29574;1;110;5;C/U
2;29574;2;75;1;C/U
2;29576;1;110;1;C/U
2;29577;1;65;1;C/U
2;29577;2;75;2;C/U
2;29578;1;65;2;C/U
2;29578;2;75;2;C/U
2;29578;3;110;1;C/U
2;29579;1;75;3;C/U
2;29580;1;75;1;C/U
2;29580;2;110;4;C/U
2;29581;1;65;4;C/U
2;29581;2;75;2;C/U
2;29582;1;110;2;C/U
2;29583;1;110;5;C/U
2;29583;2;100SP;1;C/U
2;29601;1;65;4;C/U
2;29601;2;75;5;C/U
2;29602;1;45FKA;2;C/U
2;29602;2;65;3;C/U
2;29602;3;90;3;C/U
2;29603;1;65;6;C/U
2;29603;2;90;4;C/U
2;29604;1;180;2;C/U
2;29606;1;65;1;C/U
2;29606;2;75;1;C/U
2;29607;1;75;6;C/U
2;29607;2;90;2;C/U
2;29608;1;180;2;C/U
2;29609;1;65;15;C/U
2;29610;1;75;2;C/U
2;29612;1;65;15;C/U
2;29613;1;65;2;C/U
2;29613;2;75;2;C/U
2;29613;3;90;1;C/U
2;29614;1;180;2;C/U
2;29616;1;180;4;C/U
2;204421;1;1004X4;1;C/U
2;204422;1;65;2;C/U
2;204422;2;75;2;C/U
2;204422;3;110;3;C/U
2;204517;1;100SP;1;C/U
2;204557;1;Q660;1;C/U
2;204561;1;Q660;1;C/U
2;204578;1;110;2;C/U
2;204610;1;Q660;1;C/U
2;204631;1;Q750;2;C/U
2;204641;1;90;1;C/U
2;204665;1;Q660;1;C/U
2;204718;1;240;1;C/U
2;204774;1;180;2;C/U
2;204868;1;180;1;C/U
2;204973;1;Q550;1;C/U
2;204974;1;Q660;1;C/U
2;204978;1;1004X4;1;C/U
2;205978;1;180;1;C/U
2;205995;1;45FKA;2;C/U
2;205995;2;75;7;C/U
2;205995;3;75;10;C/U
2;205995;4;1004X4;3;C/U
2;205995;5;180;2;C/U
2;205995;6;110;3;C/U
2;206305;1;75;2;C/U
2;206429;1;75;5;C/U
2;206429;2;65;5;C/U
2;206429;3;110;1;C/U
2;206429;4;180;2;C/U
2;207660;1;45FKA;1;C/U
2;207660;2;110;1;C/U
2;207660;3;75;5;C/U
2;207660;4;65;5;C/U
2;207799;1;65;2;C/U
2;207799;2;75;2;C/U
2;208036;1;45FKA;2;C/U
2;208036;2;75;2;C/U
2;208036;3;180;2;C/U
2;208041;1;180;1;C/U
2;208482;1;75;5;C/U
2;208482;2;65;3;C/U
2;290781;1;75;1;C/U
2;296011;1;75;1;C/U
5;1;1;180;5;C/U
5;2;1;65;1;C/U
5;2;2;75;1;C/U
5;3;1;110;2;C/U
5;3;2;75;1;C/U
5;4;1;110;2;C/U
5;5;1;180;3;C/U
5;6;1;NP40;4;cmbUnidadMedida
5;7;1;110;60;C/U
5;7;2;180;10;C/U
5;7;3;75;10;C/U
5;8;1;65;20;C/U
5;8;2;75;40;C/U
5;8;3;1004X4;10;C/U
5;9;1;180;10;C/U
5;10;1;180;4;C/U
5;11;1;45FKA;10;C/U
5;11;2;65;20;C/U
5;11;3;75;20;C/U
5;11;4;110;10;C/U
5;12;1;240;2;C/U
5;13;1;90;1;C/U
5;14;1;180;1;C/U
5;15;1;240;2;C/U
5;16;1;180;10;C/U
5;16;2;110;6;C/U
5;17;1;180;7;C/U
5;18;1;180;2;C/U
5;19;1;180;1;C/U
5;20;1;110;1;C/U
5;21;1;110;6;C/U
5;22;1;180;6;C/U
5;23;1;1004X4;6;C/U
5;24;1;180;7;C/U
5;25;1;180;2;C/U
5;26;1;180;1;C/U
5;27;1;45CRV;1;C/U
5;27;2;65;15;C/U
5;27;3;75;15;C/U
5;27;4;1004X4;3;C/U
5;27;5;1004X4IZQ;2;C/U
5;27;6;110;10;C/U
5;27;7;100SP;2;C/U
5;27;8;180;10;C/U
5;27;9;180I;3;C/U
5;28;1;180;7;C/U
5;29;1;110;4;C/U
5;30;1;65;10;C/U
5;31;1;65;5;C/U
5;31;2;75;3;C/U
5;32;1;180;4;C/U
5;33;1;110;3;C/U
5;34;1;45FKA;4;C/U
5;34;2;65;8;C/U
5;35;1;180;10;C/U
5;37;1;180;7;C/U
5;38;1;180;2;C/U
5;39;1;180;1;C/U
5;40;1;180;10;C/U
5;41;1;180;4;C/U
5;42;1;110;4;C/U
5;42;2;180;4;C/U
5;43;1;180;4;C/U
5;44;1;180;7;C/U
5;45;1;180;2;C/U
5;46;1;180;1;C/U
5;47;1;180;2;C/U
5;47;2;110;2;C/U
5;47;3;75;1;C/U
5;47;4;65;1;C/U
5;48;1;180;4;C/U
5;49;1;110;2;C/U
5;50;1;180;2;C/U
5;51;1;110;1;C/U
5;52;1;180;4;C/U
5;52;2;110;4;C/U
