NroNotaCredito;TipoNotaCredito;ItemNotaCredito;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
56;A;1;110C;1;1917.35;0;1917.35;C/U;0.0
56;A;2;75;1;1216.53;0;1216.53;C/U;0.0
57;A;1;180;2;2651.24;0;5302.48;C/U;0.0
58;A;1;75;5;1520.66;35;4942.15;C/U;2661.16
58;A;2;65;2;1272.72;35;1654.54;C/U;890.9
59;A;1;180;24;2420.0;0;58080.0;C/U;0.0
59;A;2;1004X4;1;2355.37;20;1884.3;C/U;471.07
60;A;1;RES;200;35.0;0;7000.0;;0.0
61;A;1;RES;35;200.0;0;7000.0;;0.0
62;A;1;1004X4;1;1203.53;0;1203.53;C/U;0.0
63;A;1;180;1;2048.69;0;2048.69;C/U;0.0
64;A;1;100SP;1;2396.69;25;1797.52;C/U;599.17
65;A;1;75;1;1520.66;0;1520.66;C/U;0.0
66;A;1;180;20;2562.31;0;51246.2;C/U;0.0
67;A;1;180;4;2737.73;0;10950.92;C/U;0.0
68;A;1;RES;21350;10.2;0;217770.0;;0.0
69;A;1;75;1;6610.5;0;6610.5;C/U;0.0
70;A;1;65;1;1363.63;0;1363.63;C/U;0.0
71;A;1;110C;2;2566.11;25;3849.17;C/U;1283.06
72;A;1;110C;2;2566.11;20;4105.78;C/U;1026.44
73;A;1;180;2;2879.0;0;5758.0;C/U;0.0
73;A;2;1004X4;1;1777.0;0;1777.0;C/U;0.0
74;A;1;180;10;2748.62;0;27486.2;C/U;0.0
75;A;1;RES;43;289.25;0;12437.75;;0.0
76;A;1;RES;1;15272.72;0;15272.72;;0.0
77;A;1;45FIT;1;1929.75;20;1543.8;C/U;385.95
78;A;1;240;1;4685.95;25;3514.46;C/U;1171.49
78;A;2;110C;3;2566.11;25;5773.75;C/U;1924.58
79;A;1;65;1;1363.63;20;1090.9;C/U;272.73
79;A;2;90;2;2520.66;20;4033.06;C/U;1008.26
80;A;1;75;100;1071.0;0;107100.0;C/U;0.0
80;A;2;100;30;1778.0;0;53340.0;C/U;0.0
80;A;3;180;20;2642.0;0;52840.0;C/U;0.0
81;A;1;RES;25000;14.0;0;350000.0;;0.0
82;A;1;65;1;1363.63;20;1090.9;C/U;272.73
83;A;1;TO;26740;34.24;0;915577.6;;0.0
84;A;1;90;20;1630.0;0;32600.0;C/U;0.0
84;A;2;1004X4;30;1630.0;0;48900.0;C/U;0.0
84;A;3;100SP;10;1778.0;0;17780.0;C/U;0.0
84;A;4;110C;30;1778.0;0;53340.0;C/U;0.0
84;A;5;120;10;1925.0;0;19250.0;C/U;0.0
84;A;6;180;30;2642.0;0;79260.0;C/U;0.0
85;A;1;1004X4;1;2355.37;20;1884.3;C/U;471.07
85;A;2;180;10;3793.38;20;30347.04;C/U;7586.76
88;A;1;180;1;3793.38;20;3034.7;C/U;758.68
88;A;2;65;1;1363.63;20;1090.9;C/U;272.73
89;A;1;180;10;3023.48;0;30234.8;C/U;0.0
90;A;1;80T;2;1892.56;20;3028.1;C/U;757.02
90;A;2;110C;1;2566.11;20;2052.89;C/U;513.22
91;A;1;45FKA;9;925.62;0;8330.58;C/U;0.0
92;A;1;180;80;2183.47;0;174677.6;C/U;0.0
92;A;2;110C;80;1469.42;0;117553.6;C/U;0.0
93;A;1;N24;1;1090.9;0;1090.9;C/U;0.0
94;A;1;180;6;3023.48;0;18140.88;C/U;0.0
95;A;1;RES;10;247.93;0;2479.3;;0.0
95;A;2;RES;2;99.17;0;198.34;;0.0
96;A;1;75;2;1628.09;0;3256.18;C/U;0.0
96;A;2;65;2;1363.63;0;2727.26;C/U;0.0
96;A;3;45FIT;1;1776.85;0;1776.85;C/U;0.0
97;A;1;110C;2;2772.72;30;3881.81;C/U;1663.63
98;A;1;180;2;4099.17;20;6558.67;C/U;1639.67
99;A;1;DEV;1;4132.23;0;4132.23;C/U;0.0
