IdSucursal;NroRemito;FechaRemito;CodCliente;UnidadNegocio;CodVendedor;NroFactura;TipoFactura;Item;AclaracionRemito
2;67;2025-08-13 00:00:00;2011;;100;0;;0;
2;190;2025-11-21 00:00:00;345;;200;10273;A;1;
2;268;2026-01-09 00:00:00;632;;100;10406;A;1;
2;15141;2025-10-15 00:00:00;2248;;600;10173;A;1;
2;15154;2025-10-27 00:00:00;2248;;600;10193;A;1;
2;15207;2026-01-22 00:00:00;345;;200;10444;A;1;
2;15213;2026-01-22 00:00:00;345;;200;10443;A;1;
2;15223;2026-01-28 00:00:00;345;;200;10460;A;1;
2;25944;2025-06-24 00:00:00;1210;;400;9850;A;1;
2;26547;2025-10-24 00:00:00;997;;700;10190;A;1;
2;26549;2025-10-27 00:00:00;2144;;700;10192;A;1;
2;26550;2025-10-31 00:00:00;588;;700;10212;A;1;
2;26582;2025-08-28 00:00:00;433;;100;10058;A;1;
2;26586;2025-09-15 00:00:00;130;;700;10103;A;1;
2;26591;2025-10-29 00:00:00;433;;100;10205;A;1;
2;26595;2026-02-03 00:00:00;588;;700;10476;A;1;
2;28620;2025-06-18 00:00:00;1051;;600;9828;A;1;
2;28621;2025-06-25 00:00:00;2020;;600;9852;A;1;
2;28622;2025-07-10 00:00:00;2020;;600;9924;A;1;
2;28623;2025-07-17 00:00:00;2020;;600;9949;A;1;
2;28625;2025-07-14 00:00:00;1051;;600;9938;A;1;
2;28883;2025-06-17 00:00:00;220;;700;9827;A;1;
2;28888;2025-06-23 00:00:00;2144;;700;9842;A;1;
2;28889;2025-06-24 00:00:00;220;;700;9847;A;1;
2;28890;2025-06-24 00:00:00;362;;700;9846;A;1;
2;28893;2025-07-03 00:00:00;433;;100;9887;A;1;
2;28894;2025-07-03 00:00:00;681;;700;9886;A;1;
2;28895;2025-07-11 00:00:00;363;;700;9932;A;1;
2;28897;2025-07-23 00:00:00;130;;700;9962;A;1;
2;28898;2025-07-25 00:00:00;363;;700;9976;A;1;
2;28899;2025-07-28 00:00:00;2144;;700;9980;A;1;
2;28900;2025-07-28 00:00:00;997;;700;9981;A;1;
2;28917;2025-06-25 00:00:00;363;;700;9853;A;1;
2;28918;2025-06-26 00:00:00;2144;;700;9859;A;1;
