NroPresu;FechaPresu;TotalPresu;SubTotalPresu;CodCliente;PorcentajeDesc;ImporteDesc;FormaPago;UnidadNegocio;CodVendedor;Anulado
13688;2017-01-18 00:00:00;1252.5;1252.5;430;25.0;;;;200;
13696;2017-01-26 00:00:00;4177.5;4177.5;430;25.0;;;;200;
13699;2017-02-01 00:00:00;4140.0;4140.0;430;25.0;;;;200;
13701;2017-03-13 00:00:00;1120.0;1120.0;67;20.0;;;;300;
13708;2017-02-06 00:00:00;1155.0;1155.0;430;25.0;;;;200;
13710;2017-02-07 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13725;2017-03-09 00:00:00;1155.0;1155.0;430;25.0;;;;200;
13727;2017-03-09 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13741;2017-03-09 00:00:00;2535.0;2535.0;430;25.0;;;;200;
13742;2017-03-09 00:00:00;1155.0;1155.0;430;25.0;;;;200;
13744;2017-03-09 00:00:00;1155.0;1155.0;430;25.0;;;;200;
13756;2017-04-18 00:00:00;1155.0;1155.0;430;25.0;;;;200;
13759;2017-04-18 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13763;2017-04-18 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13764;2017-04-18 00:00:00;2175.0;2175.0;430;25.0;;;;200;
13776;2017-04-18 00:00:00;1155.0;1155.0;430;25.0;;;;200;
13780;2017-04-18 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13782;2017-04-18 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13787;2017-04-18 00:00:00;2760.0;2760.0;430;25.0;;;;200;
13790;2017-04-18 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13797;2017-04-18 00:00:00;4597.5;4597.5;430;25.0;;;;200;
13800;2017-05-04 00:00:00;4140.0;4140.0;430;25.0;;;;200;
13804;2017-05-04 00:00:00;3915.0;3915.0;430;25.0;;;;200;
13807;2017-05-04 00:00:00;2760.0;2760.0;430;25.0;;;;200;
13809;2017-05-15 00:00:00;2760.0;2760.0;430;25.0;;;;200;
13812;2017-05-15 00:00:00;2760.0;2760.0;430;25.0;;;;200;
13813;2017-05-04 00:00:00;3517.5;3517.5;430;25.0;;;;200;
13816;2017-05-15 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13822;2017-05-15 00:00:00;1155.0;1155.0;430;25.0;;;;200;
13823;2017-05-15 00:00:00;2535.0;2535.0;430;25.0;;;;200;
13828;2017-05-15 00:00:00;6900.0;6900.0;430;25.0;;;;200;
13833;2017-05-19 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13835;2017-05-19 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13837;2017-05-19 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13842;2017-06-02 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13843;2017-06-02 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13845;2017-06-02 00:00:00;3217.5;3217.5;430;25.0;;;;200;
13849;2017-06-02 00:00:00;2175.0;2175.0;636;25.0;;;;200;
13854;2017-06-02 00:00:00;2760.0;2760.0;430;25.0;;;;200;
13855;2017-06-02 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13857;2017-06-02 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13858;2017-06-02 00:00:00;1155.0;1155.0;430;25.0;;;;200;
13859;2017-06-05 00:00:00;2935.96;2935.96;2156;0.0;;;;200;
13860;2017-06-13 00:00:00;4140.0;4140.0;430;25.0;;;;200;
13872;2017-06-13 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13876;2017-07-05 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13886;2017-07-05 00:00:00;11072.5;11072.5;430;25.0;;;;200;
13893;2017-07-05 00:00:00;4140.0;4140.0;430;25.0;;;;200;
13897;2017-06-30 00:00:00;1572.0;1572.0;458;20.0;;;;300;
