NroFactura;TipoFactura;ItemFactura;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
1;A;1;180;1;3041.32;0;3041.32;C/U;0.0
2;A;1;180;1;1.0;0;1.0;C/U;0.0
3;A;1;180;1;1.0;0;1.0;C/U;0.0
4;A;1;180;1;1.0;25;0.75;C/U;0.25
5;A;1;180;6;2107.06;0;12642.36;C/U;0.0
6;A;1;180;1;3041.32;20;2433.06;C/U;608.26
7;A;1;180;4;2114.57;0;8458.28;C/U;0.0
8;A;1;75;1;1302.47;20;1041.98;C/U;260.49
9;A;1;75;1;1302.47;20;1041.98;C/U;260.49
10;A;1;75;1;1302.47;20;1041.98;C/U;260.49
10;A;2;65;1;1093.38;20;874.7;C/U;218.68
11;A;1;65;1;1093.38;20;874.7;C/U;218.68
12;A;1;65;2;1093.38;20;1749.41;C/U;437.35
13;A;1;65;2;1093.38;20;1749.41;C/U;437.35
14;A;1;50;1;1093.38;25;820.04;C/U;273.35
14;A;2;65;1;1093.38;25;820.04;C/U;273.35
14;A;3;75;1;1302.47;25;976.85;C/U;325.62
15;A;1;150;2;1373.55;0;2747.1;C/U;0.0
16;A;1;180;1;2117.61;0;2117.61;C/U;0.0
17;A;1;75;5;1302.47;25;4884.26;C/U;1628.09
18;A;1;65;1;1093.38;20;874.7;C/U;218.68
18;A;2;75;1;1302.47;20;1041.98;C/U;260.49
18;A;3;90;1;2024.79;20;1619.83;C/U;404.96
19;A;1;65;2;1093.38;20;1749.41;C/U;437.35
19;A;2;50;2;1093.38;20;1749.41;C/U;437.35
19;A;3;75;1;1302.47;20;1041.98;C/U;260.49
20;A;1;65;2;1093.38;25;1640.07;C/U;546.69
20;A;2;75;5;1302.47;25;4884.26;C/U;1628.09
20;A;3;110C;2;2062.8;25;3094.2;C/U;1031.4
21;A;1;45FKA;7;851.0;0;5957.0;C/U;0.0
21;A;2;65;30;748.0;0;22440.0;C/U;0.0
21;A;3;75;50;850.0;0;42500.0;C/U;0.0
21;A;4;100D4X4;10;1295.0;0;12950.0;C/U;0.0
21;A;5;120;8;1529.0;0;12232.0;C/U;0.0
21;A;6;110C;20;1412.0;0;28240.0;C/U;0.0
21;A;7;110C;5;1412.0;0;7060.0;C/U;0.0
21;A;8;180;20;2098.0;0;41960.0;C/U;0.0
21;A;9;200;2;2667.0;0;5334.0;C/U;0.0
22;A;1;75;2;1302.47;25;1953.71;C/U;651.24
22;A;2;65;1;1093.38;25;820.04;C/U;273.35
23;A;1;180;10;2122.98;0;21229.8;C/U;0.0
24;A;1;50;1;1093.38;20;874.7;C/U;218.68
24;A;2;65;1;1093.38;20;874.7;C/U;218.68
24;A;3;75;1;1302.47;20;1041.98;C/U;260.49
25;A;1;65;1;1093.38;20;874.7;C/U;218.68
26;A;1;65;1;1093.38;20;874.7;C/U;218.68
27;A;1;180;1;3041.32;20;2433.06;C/U;608.26
28;A;1;65;2;1093.38;20;1749.41;C/U;437.35
28;A;2;45FKA;1;1093.38;20;874.7;C/U;218.68
28;A;3;75;3;1302.47;20;3125.93;C/U;781.48
29;A;1;RES;45000;7.9;0;355500.0;;0.0
30;A;1;48V270A;1;50009.4;0;50009.4;C/U;0.0
31;A;1;180;6;2107.06;0;12642.36;C/U;0.0
32;A;1;65;1;1093.38;20;874.7;C/U;218.68
33;A;1;75;1;1302.47;20;1041.98;C/U;260.49
33;A;2;65;2;1093.38;20;1749.41;C/U;437.35
34;A;1;6200;2;1724.79;20;2759.66;C/U;689.92
34;A;2;180;2;3041.32;20;4866.11;C/U;1216.53
35;A;1;75;3;1007.43;0;3022.29;C/U;0.0
35;A;2;65;3;841.32;0;2523.96;C/U;0.0
35;A;3;110C;2;1582.64;0;3165.28;C/U;0.0
35;A;4;100SP;1;1582.64;0;1582.64;C/U;0.0
36;A;1;80T;1;1520.66;20;1216.53;C/U;304.13
37;A;1;75;1;1302.47;20;1041.98;C/U;260.49
38;A;1;180;1;3041.32;25;2280.99;C/U;760.33
38;A;2;75;1;1302.47;25;976.85;C/U;325.62
39;A;1;65;1;1093.38;20;874.7;C/U;218.68
40;A;1;75;2;1302.47;25;1953.71;C/U;651.24
40;A;2;65;1;1093.38;25;820.04;C/U;273.35
41;A;1;65;2;1093.38;20;1749.41;C/U;437.35
42;A;1;180;4;2191.11;0;8764.44;C/U;0.0
43;A;1;180;10;2335.28;0;23352.8;C/U;0.0
44;A;1;75;1;1302.47;20;1041.98;C/U;260.49
45;A;1;TO;16782;25.2;0;422906.4;;0.0
45;A;2;M12X55T;2100;61.2;0;128520.0;C/U;0.0
46;A;1;110C;2;2062.8;20;3300.48;C/U;825.12
47;A;1;110C;2;2062.8;20;3300.48;C/U;825.12
48;A;1;180;6;2121.4;20;10182.72;C/U;2545.68
49;A;1;65;2;1093.38;25;1640.07;C/U;546.69
50;A;1;75;3;1302.47;20;3125.93;C/U;781.48
51;A;1;65;1;1093.38;0;1093.38;C/U;0.0
52;A;1;PLOMO;32376;26.5;0;857964.0;KG;0.0
53;A;1;80T;3;1520.66;25;3421.49;C/U;1140.5
54;A;1;75;1;1302.47;20;1041.98;C/U;260.49
55;A;1;65;1;1093.38;20;874.7;C/U;218.68
56;A;1;75;2;1302.47;20;2083.95;C/U;520.99
56;A;2;65;1;1093.38;20;874.7;C/U;218.68
57;A;1;110C;7;1412.0;0;9884.0;C/U;0.0
57;A;2;180;15;2098.0;0;31470.0;C/U;0.0
58;A;1;100SP;1;2062.8;20;1650.24;C/U;412.56
59;A;1;75;3;1302.47;20;3125.93;C/U;781.48
60;A;1;180;10;2107.06;0;21070.6;C/U;0.0
61;A;1;110C;5;2062.8;30;7219.8;C/U;3094.2
61;A;2;75;1;1302.47;30;911.73;C/U;390.74
61;A;3;180;1;3041.32;30;2128.92;C/U;912.4
62;A;1;75;3;1302.47;25;2930.56;C/U;976.85
62;A;2;65;1;1093.38;25;820.04;C/U;273.35
62;A;3;110C;1;2062.8;25;1547.1;C/U;515.7
63;A;1;75;1;1302.47;25;976.85;C/U;325.62
63;A;2;65;1;1093.38;25;820.04;C/U;273.35
63;A;3;110C;1;2062.8;25;1547.1;C/U;515.7
64;A;1;180;4;2300.0;0;9200.0;C/U;0.0
65;A;1;65;1;1093.38;20;874.7;C/U;218.68
66;A;1;180;1;3041.32;20;2433.06;C/U;608.26
66;A;2;110C;1;2062.8;20;1650.24;C/U;412.56
67;A;1;65;2;1093.38;20;1749.41;C/U;437.35
67;A;2;75;1;1302.47;20;1041.98;C/U;260.49
67;A;3;110C;1;2062.8;20;1650.24;C/U;412.56
67;A;4;90;1;2024.79;20;1619.83;C/U;404.96
68;A;1;75;6;1302.47;0;7814.82;C/U;0.0
68;A;2;65;1;1093.38;0;1093.38;C/U;0.0
69;A;1;180;2;2410.22;0;4820.44;C/U;0.0
70;A;1;240;2;3763.63;20;6021.81;C/U;1505.45
70;A;2;50;1;1093.38;20;874.7;C/U;218.68
71;A;1;180;4;2317.76;0;9271.04;C/U;0.0
72;A;1;75;1;1302.47;20;1041.98;C/U;260.49
73;A;1;75;1;1302.47;20;1041.98;C/U;260.49
73;A;2;65;1;1093.38;20;874.7;C/U;218.68
74;A;1;65;2;1093.38;20;1749.41;C/U;437.35
75;A;1;65;1;1093.38;20;874.7;C/U;218.68
76;A;1;50;1;1093.38;20;874.7;C/U;218.68
76;A;2;65;2;1093.38;20;1749.41;C/U;437.35
76;A;3;75;1;1302.47;20;1041.98;C/U;260.49
77;A;1;110C;2;2062.8;25;3094.2;C/U;1031.4
78;A;1;75;2;1302.47;25;1953.71;C/U;651.24
78;A;2;50;1;1093.38;25;820.04;C/U;273.35
79;A;1;65;1;1093.38;20;874.7;C/U;218.68
80;A;1;65;1;1093.38;20;874.7;C/U;218.68
81;A;1;65;1;1093.38;20;874.7;C/U;218.68
82;A;1;110C;1;2062.8;25;1547.1;C/U;515.7
82;A;2;100SP;1;2062.8;25;1547.1;C/U;515.7
82;A;3;180;1;3041.32;25;2280.99;C/U;760.33
83;A;1;110C;7;2062.8;20;11551.68;C/U;2887.92
83;A;2;65;4;1093.38;20;3498.82;C/U;874.7
83;A;3;75;1;1302.47;20;1041.98;C/U;260.49
84;A;1;45FKA;1;898.0;0;898.0;C/U;0.0
84;A;2;65;7;898.0;0;6286.0;C/U;0.0
84;A;3;75;7;1069.0;0;7483.0;C/U;0.0
84;A;4;110C;2;1694.0;0;3388.0;C/U;0.0
84;A;5;180;3;2497.0;0;7491.0;C/U;0.0
85;A;1;75;10;1007.43;0;10074.3;C/U;0.0
85;A;2;65;8;841.32;0;6730.56;C/U;0.0
85;A;3;45FKA;5;779.33;0;3896.65;C/U;0.0
86;A;1;180;15;2335.28;0;35029.2;C/U;0.0
87;A;1;180;15;2335.28;0;35029.2;C/U;0.0
88;A;1;75;1;1302.47;20;1041.98;C/U;260.49
89;A;1;75;4;807.29;0;3229.16;C/U;0.0
90;A;1;180;4;2114.57;0;8458.28;C/U;0.0
91;A;1;180;3;2326.03;0;6978.09;C/U;0.0
92;A;1;80T;1;1520.66;0;1520.66;C/U;0.0
93;A;1;180;1;3041.32;0;3041.32;C/U;0.0
94;A;1;65;1;1093.38;20;874.7;C/U;218.68
95;A;1;75;4;1302.47;25;3907.41;C/U;1302.47
95;A;2;65;2;1093.38;25;1640.07;C/U;546.69
95;A;3;50;1;1093.38;25;820.04;C/U;273.35
95;A;4;180;1;3041.32;25;2280.99;C/U;760.33
96;A;1;75;1;1302.47;20;1041.98;C/U;260.49
97;A;1;75;1;1302.47;20;1041.98;C/U;260.49
97;A;2;45FKA;1;1093.38;20;874.7;C/U;218.68
98;A;1;75;1;1302.47;20;1041.98;C/U;260.49
98;A;2;65;2;1093.38;20;1749.41;C/U;437.35
99;A;1;75;1;1302.47;20;1041.98;C/U;260.49
100;A;1;65;1;1093.38;20;874.7;C/U;218.68
101;A;1;75;16;795.87;0;12733.92;C/U;0.0
101;A;2;65;16;667.77;0;10684.32;C/U;0.0
101;A;3;75;24;884.3;0;21223.2;C/U;0.0
101;A;4;65;38;742.15;0;28201.7;C/U;0.0
101;A;5;45FKA;16;697.52;0;11160.32;C/U;0.0
101;A;6;110C;8;1400.0;0;11200.0;C/U;0.0
101;A;7;180;1;2064.46;0;2064.46;C/U;0.0
101;A;8;80T;1;1032.23;0;1032.23;C/U;0.0
102;A;1;180;10;2317.77;0;23177.7;C/U;0.0
103;A;1;180;2;2410.22;0;4820.44;C/U;0.0
104;A;1;45FIT;1;1544.62;20;1235.7;C/U;308.92
105;A;1;65;2;1093.38;20;1749.41;C/U;437.35
106;A;1;75;1;1302.47;20;1041.98;C/U;260.49
107;A;1;75;1;1302.47;20;1041.98;C/U;260.49
108;A;1;180;10;2335.28;0;23352.8;C/U;0.0
109;A;1;180;4;2333.59;0;9334.36;C/U;0.0
110;A;1;70;25;789.0;0;19725.0;C/U;0.0
110;A;2;65;30;748.0;0;22440.0;C/U;0.0
110;A;3;75;60;850.0;0;51000.0;C/U;0.0
110;A;4;45FKA;10;851.0;0;8510.0;C/U;0.0
110;A;5;100D4X4;11;1295.0;0;14245.0;C/U;0.0
110;A;6;240;3;2667.0;0;8001.0;C/U;0.0
110;A;7;180;23;2098.0;0;48254.0;C/U;0.0
110;A;8;110C;25;1412.0;0;35300.0;C/U;0.0
110;A;9;200;1;1359.0;0;1359.0;C/U;0.0
110;A;10;90;5;1295.0;0;6475.0;C/U;0.0
110;A;11;100SP;5;1412.0;0;7060.0;C/U;0.0
111;A;1;65;1;710.4;0;710.4;C/U;0.0
111;A;2;75;4;807.3;0;3229.2;C/U;0.0
111;A;3;110C;1;1362.04;0;1362.04;C/U;0.0
111;A;4;45FKA;1;807.3;0;807.3;C/U;0.0
111;A;5;50;1;328.92;0;328.92;C/U;0.0
112;A;1;45FKA;2;807.3;0;1614.6;C/U;0.0
112;A;2;75;2;807.3;0;1614.6;C/U;0.0
113;A;1;PLOMO;27743;23.95;0;664444.85;KG;0.0
114;A;1;PLOMO;10079;23.95;0;241392.05;KG;0.0
115;A;1;110C;1;2062.8;20;1650.24;C/U;412.56
116;A;1;110C;4;2062.8;25;6188.4;C/U;2062.8
116;A;2;75;3;1302.47;25;2930.56;C/U;976.85
116;A;3;100SP;1;2062.8;25;1547.1;C/U;515.7
116;A;4;80T;1;1520.66;25;1140.5;C/U;380.17
117;A;1;48V270A;1;100018.8;0;100018.8;C/U;0.0
118;A;1;180;4;2410.22;0;9640.88;C/U;0.0
119;A;1;110C;4;2062.8;20;6600.96;C/U;1650.24
119;A;2;65;2;1093.38;20;1749.41;C/U;437.35
120;A;1;110C;4;2062.8;20;6600.96;C/U;1650.24
120;A;2;65;2;1093.38;20;1749.41;C/U;437.35
121;A;1;75;2;1302.47;25;1953.71;C/U;651.24
122;A;1;180;3;2317.76;0;6953.28;C/U;0.0
123;A;1;180;3;2333.59;0;7000.77;C/U;0.0
124;A;1;110C;2;2062.8;25;3094.2;C/U;1031.4
125;A;1;65;1;1093.38;20;874.7;C/U;218.68
125;A;2;75;1;1302.47;20;1041.98;C/U;260.49
126;A;1;180;1;3041.32;20;2433.06;C/U;608.26
127;A;1;75;1;1302.47;20;1041.98;C/U;260.49
127;A;2;65;1;1093.38;20;874.7;C/U;218.68
128;A;1;75;1;1302.47;20;1041.98;C/U;260.49
128;A;2;65;1;1093.38;20;874.7;C/U;218.68
129;A;1;65;1;1093.38;20;874.7;C/U;218.68
129;A;2;75;2;1302.47;20;2083.95;C/U;520.99
130;A;1;75;2;1302.47;20;2083.95;C/U;520.99
130;A;2;65;1;1093.38;20;874.7;C/U;218.68
131;A;1;180;10;2335.38;0;23353.8;C/U;0.0
132;A;1;65;2;1093.38;25;1640.07;C/U;546.69
132;A;2;75;5;1302.47;25;4884.26;C/U;1628.09
133;A;1;110C;4;2062.8;20;6600.96;C/U;1650.24
133;A;2;75;1;1302.47;20;1041.98;C/U;260.49
133;A;3;65;1;1093.38;20;874.7;C/U;218.68
134;A;1;NP7AB;1;140.49;0;140.49;C/U;0.0
135;A;1;180;6;2317.76;0;13906.56;C/U;0.0
136;A;1;180;2;2326.03;0;4652.06;C/U;0.0
137;A;1;110C;1;2700.0;0;2700.0;C/U;0.0
138;A;1;100SP;1;2062.8;20;1650.24;C/U;412.56
139;A;1;65;1;1093.38;20;874.7;C/U;218.68
140;A;1;180;2;2410.22;0;4820.44;C/U;0.0
141;A;1;65;1;713.22;0;713.22;C/U;0.0
142;A;1;100SP;1;1582.64;0;1582.64;C/U;0.0
142;A;2;75;2;1007.43;0;2014.86;C/U;0.0
142;A;3;65;3;841.32;0;2523.96;C/U;0.0
143;A;1;75;1;1302.47;20;1041.98;C/U;260.49
144;A;1;180;1;3041.32;20;2433.06;C/U;608.26
145;A;1;80T;2;1520.66;25;2280.99;C/U;760.33
146;A;1;75;1;1302.47;25;976.85;C/U;325.62
147;A;1;240;1;3763.63;20;3010.9;C/U;752.73
148;A;1;90;1;2024.79;20;1619.83;C/U;404.96
149;A;1;75;3;1302.47;25;2930.56;C/U;976.85
150;A;1;180;10;2608.16;0;26081.6;C/U;0.0
151;A;1;180;4;2317.76;0;9271.04;C/U;0.0
152;A;1;180;2;2410.22;0;4820.44;C/U;0.0
153;A;1;240;1;3091.0;0;3091.0;C/U;0.0
153;A;2;75;1;1070.0;0;1070.0;C/U;0.0
153;A;3;65;1;898.0;0;898.0;C/U;0.0
153;A;4;45FKA;1;898.0;0;898.0;C/U;0.0
154;A;1;65;1;1093.38;20;874.7;C/U;218.68
155;A;1;100SP;1;2062.8;25;1547.1;C/U;515.7
155;A;2;110C;1;2062.8;25;1547.1;C/U;515.7
156;A;1;75;2;1302.47;20;2083.95;C/U;520.99
156;A;2;65;2;1093.38;20;1749.41;C/U;437.35
157;A;1;RES;25000;7.9;0;197500.0;;0.0
158;A;1;PLOMO;23953;26.5;0;634754.5;KG;0.0
159;A;1;PLOMO;23953;26.5;0;634754.5;KG;0.0
160;A;1;180;5;2333.59;0;11667.95;C/U;0.0
161;A;1;65;2;1093.38;20;1749.41;C/U;437.35
162;A;1;65;1;1093.38;20;874.7;C/U;218.68
163;A;1;65;1;1093.38;0;1093.38;C/U;0.0
164;A;1;180;6;2117.61;0;12705.66;C/U;0.0
165;A;1;180;2;3041.32;20;4866.11;C/U;1216.53
165;A;2;75;3;1302.47;20;3125.93;C/U;781.48
166;A;1;65;2;1093.38;25;1640.07;C/U;546.69
167;A;1;65;2;1093.38;20;1749.41;C/U;437.35
167;A;2;75;1;1302.47;20;1041.98;C/U;260.49
168;A;1;75;1;1302.47;20;1041.98;C/U;260.49
169;A;1;110C;1;2057.85;0;2057.85;C/U;0.0
170;A;1;RES;15000;7.9;0;118500.0;;0.0
171;A;1;80T;1;1520.66;25;1140.5;C/U;380.17
172;A;1;RES;20000;7.9;0;158000.0;;0.0
173;A;1;65;2;1093.38;25;1640.07;C/U;546.69
173;A;2;90;1;2024.79;25;1518.59;C/U;506.2
174;A;1;100;15;1412.0;0;21180.0;cmbUnidadMedida;0.0
174;A;2;110C;5;1412.0;0;7060.0;C/U;0.0
174;A;3;180;25;2098.0;0;52450.0;C/U;0.0
174;A;4;65;30;748.0;0;22440.0;C/U;0.0
174;A;5;70;25;789.0;0;19725.0;C/U;0.0
174;A;6;75;50;850.0;0;42500.0;C/U;0.0
175;A;1;75;2;1302.47;25;1953.71;C/U;651.24
175;A;2;65;2;1093.38;25;1640.07;C/U;546.69
176;A;1;180;8;3041.32;30;17031.39;C/U;7299.17
176;A;2;110C;10;2062.8;30;14439.6;C/U;6188.4
176;A;3;1004X4;4;2062.8;30;5775.84;C/U;2475.36
176;A;4;80T;1;1520.66;30;1064.46;C/U;456.2
176;A;5;75;10;1302.47;30;9117.29;C/U;3907.41
176;A;6;65;8;1093.38;30;6122.93;C/U;2624.11
176;A;7;45FKA;2;1093.38;30;1530.73;C/U;656.03
177;A;1;180;5;2317.76;0;11588.8;C/U;0.0
178;A;1;75;4;1302.47;20;4167.9;C/U;1041.98
178;A;2;110C;2;2062.8;20;3300.48;C/U;825.12
179;A;1;180;4;2333.59;0;9334.36;C/U;0.0
180;A;1;180;2;2410.22;0;4820.44;C/U;0.0
181;A;1;75;1;1302.47;20;1041.98;C/U;260.49
182;A;1;1004X4;1;2062.8;20;1650.24;C/U;412.56
183;A;1;45FIT;1;1544.62;25;1158.47;C/U;386.16
183;A;2;65;1;1093.38;25;820.04;C/U;273.35
183;A;3;75;1;1302.47;25;976.85;C/U;325.62
184;A;1;180;4;2317.77;0;9271.08;C/U;0.0
185;A;1;120;4;2100.0;0;8400.0;C/U;0.0
186;A;1;65;1;1093.38;20;874.7;C/U;218.68
186;A;2;45FKA;1;1093.38;20;874.7;C/U;218.68
187;A;1;75;1;1302.47;20;1041.98;C/U;260.49
187;A;2;65;1;1093.38;20;874.7;C/U;218.68
187;A;3;45FKA;1;1093.38;20;874.7;C/U;218.68
188;A;1;180;10;2335.38;0;23353.8;C/U;0.0
189;A;1;110C;2;2062.8;20;3300.48;C/U;825.12
189;A;2;75;1;1302.47;20;1041.98;C/U;260.49
189;A;3;50;1;1093.38;20;874.7;C/U;218.68
190;A;1;65;2;639.36;0;1278.72;C/U;0.0
190;A;2;75;2;726.57;0;1453.14;C/U;0.0
190;A;3;180;1;1757.03;0;1757.03;C/U;0.0
190;A;4;90;1;1156.82;0;1156.82;C/U;0.0
190;A;5;1004X4;1;1041.14;0;1041.14;C/U;0.0
190;A;6;100;1;1225.84;0;1225.84;cmbUnidadMedida;0.0
191;A;1;6200;2;1169.31;0;2338.62;C/U;0.0
192;A;1;100;3;1225.84;0;3677.52;cmbUnidadMedida;0.0
192;A;2;180;2;1757.03;0;3514.06;C/U;0.0
193;A;1;75;1;807.3;0;807.3;C/U;0.0
194;A;1;100;5;1225.84;0;6129.2;cmbUnidadMedida;0.0
194;A;2;180;2;1757.03;0;3514.06;C/U;0.0
194;A;3;75;2;726.57;0;1453.14;C/U;0.0
194;A;4;110C;1;1225.84;0;1225.84;C/U;0.0
194;A;5;65;3;639.36;0;1918.08;C/U;0.0
195;A;1;100;5;1225.84;0;6129.2;cmbUnidadMedida;0.0
195;A;2;180;3;1757.03;0;5271.09;C/U;0.0
195;A;3;75;4;726.57;0;2906.28;C/U;0.0
196;A;1;240;3;2667.0;0;8001.0;C/U;0.0
196;A;2;180;10;2098.0;0;20980.0;C/U;0.0
196;A;3;80T;6;1153.0;0;6918.0;C/U;0.0
196;A;4;120;3;1529.0;0;4587.0;C/U;0.0
197;A;1;75;2;1302.47;20;2083.95;C/U;520.99
198;A;1;75;3;1302.47;25;2930.56;C/U;976.85
198;A;2;65;2;1093.38;25;1640.07;C/U;546.69
198;A;3;50;1;1093.38;25;820.04;C/U;273.35
199;A;1;75;2;1302.47;20;2083.95;C/U;520.99
199;A;2;65;2;1093.38;20;1749.41;C/U;437.35
199;A;3;100SP;1;2062.8;20;1650.24;C/U;412.56
200;A;1;65;5;1093.38;20;4373.52;C/U;1093.38
200;A;2;75;3;1302.47;20;3125.93;C/U;781.48
201;A;1;180;10;2317.77;0;23177.7;C/U;0.0
202;A;1;180;1;3041.32;25;2280.99;C/U;760.33
202;A;2;75;1;1302.47;25;976.85;C/U;325.62
203;A;1;75;1;1302.47;20;1041.98;C/U;260.49
203;A;2;45FKA;1;1093.38;20;874.7;C/U;218.68
204;A;1;65;2;1093.38;20;1749.41;C/U;437.35
204;A;2;75;1;1302.47;20;1041.98;C/U;260.49
205;A;1;TO;16298;25.2;0;410709.6;;0.0
206;A;1;180;10;2098.0;0;20980.0;C/U;0.0
206;A;2;100;15;1412.0;0;21180.0;cmbUnidadMedida;0.0
207;A;1;65;3;1093.38;30;2296.1;C/U;984.04
207;A;2;180;1;3041.32;30;2128.92;C/U;912.4
207;A;3;90;2;2024.79;30;2834.71;C/U;1214.87
207;A;4;110C;1;2062.8;30;1443.96;C/U;618.84
207;A;5;75;3;1302.47;30;2735.19;C/U;1172.22
207;A;6;N24;1;1093.38;30;765.37;C/U;328.01
208;A;1;75;2;1302.47;20;2083.95;C/U;520.99
208;A;2;180;1;3041.32;20;2433.06;C/U;608.26
208;A;3;100;1;2062.8;20;1650.24;cmbUnidadMedida;412.56
209;A;1;65;1;1093.38;20;874.7;C/U;218.68
210;A;1;45R12;1;1425.61;25;1069.21;C/U;356.4
210;A;2;65;1;1093.38;25;820.04;C/U;273.35
210;A;3;75;1;1302.47;25;976.85;C/U;325.62
211;A;1;180;11;3041.32;20;26763.62;C/U;6690.9
211;A;2;110C;7;2062.8;20;11551.68;C/U;2887.92
212;A;1;110C;3;2062.8;20;4950.72;C/U;1237.68
212;A;2;75;1;1302.47;20;1041.98;C/U;260.49
213;A;1;100SP;1;2062.8;25;1547.1;C/U;515.7
213;A;2;65;1;1093.38;25;820.04;C/U;273.35
214;A;1;180;1;3041.32;0;3041.32;C/U;0.0
215;A;1;65;1;1093.38;20;874.7;C/U;218.68
216;A;1;75;12;1302.47;25;11722.23;C/U;3907.41
217;A;1;100SP;1;2062.8;25;1547.1;C/U;515.7
218;A;1;65;1;1093.38;20;874.7;C/U;218.68
219;A;1;65;1;1093.38;20;874.7;C/U;218.68
220;A;1;65;1;1093.38;20;874.7;C/U;218.68
221;A;1;75;1;1302.47;20;1041.98;C/U;260.49
222;A;1;180;2;2410.22;0;4820.44;C/U;0.0
223;A;1;110C;3;2062.8;25;4641.3;C/U;1547.1
223;A;2;75;4;1302.47;25;3907.41;C/U;1302.47
223;A;3;65;3;1093.38;25;2460.11;C/U;820.04
224;A;1;180;6;2333.59;0;14001.54;C/U;0.0
225;A;1;75;1;1302.47;20;1041.98;C/U;260.49
226;A;1;45FKA;1;1093.38;20;874.7;C/U;218.68
227;A;1;180;10;2335.28;0;23352.8;C/U;0.0
228;A;1;180;4;2317.76;0;9271.04;C/U;0.0
229;A;1;75;1;1302.47;20;1041.98;C/U;260.49
230;A;1;180;10;2317.77;0;23177.7;C/U;0.0
231;A;1;75;1;1302.47;20;1041.98;C/U;260.49
232;A;1;240;1;3763.63;20;3010.9;C/U;752.73
233;A;1;65;7;808.0;0;5656.0;C/U;0.0
233;A;2;75;8;927.0;0;7416.0;C/U;0.0
233;A;3;180;1;2248.0;0;2248.0;C/U;0.0
234;A;1;45FKA;38;697.52;0;26505.76;C/U;0.0
234;A;2;65;5;667.76;0;3338.8;C/U;0.0
234;A;3;75;7;795.86;0;5571.02;C/U;0.0
234;A;4;110C;5;1400.0;0;7000.0;C/U;0.0
234;A;5;100SP;7;1400.0;0;9800.0;C/U;0.0
234;A;6;180;3;2064.46;0;6193.38;C/U;0.0
234;A;7;65;87;742.14;0;64566.18;C/U;0.0
234;A;8;75;41;884.29;0;36255.89;C/U;0.0
235;A;1;240;1;3763.63;20;3010.9;C/U;752.73
235;A;2;75;1;1302.47;20;1041.98;C/U;260.49
235;A;3;110C;1;2062.8;20;1650.24;C/U;412.56
236;A;1;PLOMO;29316;23.95;0;702118.2;KG;0.0
237;A;1;PLOMO;15832;23.95;0;379176.4;KG;0.0
238;A;1;110C;3;2062.8;20;4950.72;C/U;1237.68
238;A;2;65;2;1093.38;20;1749.41;C/U;437.35
239;A;1;180;4;2326.03;0;9304.12;C/U;0.0
240;A;1;75;1;1302.47;20;1041.98;C/U;260.49
241;A;1;50;1;1093.38;20;874.7;C/U;218.68
242;A;1;180;4;2300.0;0;9200.0;C/U;0.0
243;A;1;180;5;3041.32;25;11404.95;C/U;3801.65
243;A;2;110C;2;2062.8;25;3094.2;C/U;1031.4
243;A;3;75;2;1302.47;25;1953.71;C/U;651.24
244;A;1;65;2;1093.38;25;1640.07;C/U;546.69
244;A;2;75;1;1302.47;25;976.85;C/U;325.62
244;A;3;80T;1;1520.66;25;1140.5;C/U;380.17
245;A;1;48V380AH;1;91735.53;0;91735.53;C/U;0.0
246;A;1;48V380AH;1;111000.0;0;111000.0;C/U;0.0
247;A;1;180;6;2326.03;0;13956.18;C/U;0.0
248;A;1;80T;1;1520.66;25;1140.5;C/U;380.17
248;A;2;65;1;1093.38;25;820.04;C/U;273.35
248;A;3;45FKA;1;1093.38;25;820.04;C/U;273.35
249;A;1;180;5;2317.86;0;11589.3;C/U;0.0
250;A;1;65;1;1093.38;20;874.7;C/U;218.68
251;A;1;75;2;1302.47;25;1953.71;C/U;651.24
252;A;1;45FKA;1;1093.38;20;874.7;C/U;218.68
252;A;2;75;4;1302.47;20;4167.9;C/U;1041.98
253;A;1;65;1;1093.38;20;874.7;C/U;218.68
253;A;2;75;2;1302.47;20;2083.95;C/U;520.99
254;A;1;NP7AB;1;270.0;0;270.0;C/U;0.0
255;A;1;75;2;1302.47;20;2083.95;C/U;520.99
255;A;2;65;1;1093.38;20;874.7;C/U;218.68
256;A;1;180;1;3041.32;20;2433.06;C/U;608.26
257;A;1;65;1;1093.38;20;874.7;C/U;218.68
258;A;1;180;4;2333.59;0;9334.36;C/U;0.0
259;A;1;75;1;1302.47;20;1041.98;C/U;260.49
259;A;2;65;1;1093.38;20;874.7;C/U;218.68
259;A;3;45FKA;1;1093.38;20;874.7;C/U;218.68
260;A;1;180;1;3041.32;25;2280.99;C/U;760.33
260;A;2;100SP;1;2062.8;25;1547.1;C/U;515.7
260;A;3;75;2;1302.47;25;1953.71;C/U;651.24
260;A;4;50;1;1093.38;25;820.04;C/U;273.35
260;A;5;150;2;1373.55;25;2060.33;C/U;686.78
261;A;1;45FKA;10;851.0;0;8510.0;C/U;0.0
261;A;2;65;25;748.0;0;18700.0;C/U;0.0
261;A;3;110C;5;1412.0;0;7060.0;C/U;0.0
262;A;1;12N26;10;3408.0;0;34080.0;C/U;0.0
262;A;2;CAB;4;852.0;0;3408.0;C/U;0.0
263;A;1;TO;27500;25.2;0;693000.0;;0.0
