NroFactura;TipoFactura;ItemFactura;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
2017;A;5;180;10;2575.0;0;25750.0;C/U;0.0
2018;A;1;110C;10;2566.11;20;20528.88;C/U;5132.22
2019;A;1;180;10;3793.38;30;26553.66;C/U;11380.14
2019;A;2;110C;10;2566.11;25;19245.83;C/U;6415.28
2020;A;1;65;1;1363.63;20;1090.9;C/U;272.73
2020;A;2;75;1;1628.09;20;1302.47;C/U;325.62
2021;A;1;65;1;1471.07;20;1176.86;C/U;294.21
2022;A;1;75;12;1760.33;35;13730.57;C/U;7393.39
2022;A;2;65;4;1471.07;35;3824.78;C/U;2059.5
2022;A;3;45FKA;1;1471.07;35;956.2;C/U;514.87
2022;A;4;1004X4;2;2723.14;35;3540.08;C/U;1906.2
2023;A;1;180;4;3120.52;0;12482.08;C/U;0.0
2024;A;1;180;4;3011.51;0;12046.04;C/U;0.0
2025;A;1;65;2;1471.07;20;2353.71;C/U;588.43
2026;A;1;65;1;1471.07;20;1176.86;C/U;294.21
2027;A;1;180;80;2183.47;0;174677.6;C/U;0.0
2027;A;2;110C;80;1469.42;0;117553.6;C/U;0.0
2028;A;1;75;1;1628.09;20;1302.47;C/U;325.62
2028;A;2;65;1;1363.63;20;1090.9;C/U;272.73
2029;A;1;TO;21840;34.24;0;747801.6;;0.0
2030;A;1;180;10;2741.67;0;27416.7;C/U;0.0
2031;A;1;75;1;1760.33;20;1408.26;C/U;352.07
2032;A;1;180;15;3023.49;0;45352.35;C/U;0.0
2033;A;1;180;6;3011.51;0;18069.06;C/U;0.0
2034;A;1;65;6;902.2;0;5413.2;C/U;0.0
2034;A;2;75;66;1074.38;0;70909.08;C/U;0.0
2034;A;3;100;6;1693.38;0;10160.28;C/U;0.0
2034;A;4;45R12;4;1173.55;0;4694.2;C/U;0.0
2035;A;1;75;1;1628.09;20;1302.47;C/U;325.62
2036;A;1;65;4;1471.07;35;3824.78;C/U;2059.5
2036;A;2;75;3;1760.33;35;3432.64;C/U;1848.35
2036;A;3;45FKA;1;1471.07;35;956.2;C/U;514.87
2036;A;4;110C;1;2772.72;35;1802.27;C/U;970.45
2037;A;1;180;10;3023.49;0;30234.9;C/U;0.0
2038;A;1;180;80;2642.0;0;211360.0;C/U;0.0
2038;A;2;110C;80;1778.0;0;142240.0;C/U;0.0
2039;A;1;12N12;1;1045.45;0;1045.45;C/U;0.0
2040;A;1;75;1;1760.33;20;1408.26;C/U;352.07
2041;A;1;75;1;1760.33;20;1408.26;C/U;352.07
2042;A;1;65;3;1363.63;25;3068.17;C/U;1022.72
2042;A;2;75;2;1628.09;25;2442.14;C/U;814.05
2043;A;1;110C;5;2566.11;25;9622.91;C/U;3207.64
2043;A;2;65;1;1363.63;25;1022.72;C/U;340.91
2044;A;1;75;6;1628.09;25;7326.41;C/U;2442.14
2044;A;2;65;3;1363.63;25;3068.17;C/U;1022.72
2044;A;3;45FKA;1;1363.63;25;1022.72;C/U;340.91
2044;A;4;110C;2;2566.11;25;3849.17;C/U;1283.06
2045;A;1;180;6;3023.48;0;18140.88;C/U;0.0
2046;A;1;65;1;1363.63;20;1090.9;C/U;272.73
2046;A;2;75;1;1628.09;20;1302.47;C/U;325.62
2047;A;1;N24;1;1090.9;0;1090.9;C/U;0.0
2048;A;1;N24;2;1090.9;0;2181.8;C/U;0.0
2049;A;1;N24;1;1090.9;0;1090.9;C/U;0.0
2050;A;1;110C;1;2772.72;25;2079.54;C/U;693.18
2051;A;1;100SP;1;2772.72;20;2218.18;C/U;554.54
2052;A;1;75;1;1628.09;20;1302.47;C/U;325.62
2053;A;1;65;10;1363.63;25;10227.23;C/U;3409.08
2053;A;2;75;10;1628.09;25;12210.68;C/U;4070.23
2053;A;3;110C;2;2566.11;25;3849.17;C/U;1283.06
2054;A;1;100SP;1;2772.72;20;2218.18;C/U;554.54
2055;A;1;65;1;1471.07;20;1176.86;C/U;294.21
2056;A;1;65;2;1471.07;20;2353.71;C/U;588.43
2057;A;1;65;3;1471.07;20;3530.57;C/U;882.64
2058;A;1;180;10;3023.49;0;30234.9;C/U;0.0
2059;A;1;65;1;1471.07;20;1176.86;C/U;294.21
2060;A;1;75;9;1760.33;35;10297.93;C/U;5545.04
2060;A;2;65;7;1471.07;35;6693.37;C/U;3604.12
2061;A;1;180;4;3120.52;0;12482.08;C/U;0.0
2062;A;1;180;10;3000.81;0;30008.1;C/U;0.0
2063;A;1;65;1;1471.07;20;1176.86;C/U;294.21
2064;A;1;180;4;3011.51;0;12046.04;C/U;0.0
2065;A;1;75;1;1760.33;20;1408.26;C/U;352.07
2066;A;1;75;1;1760.33;20;1408.26;C/U;352.07
2066;A;2;65;1;1471.07;20;1176.86;C/U;294.21
2067;A;1;180;6;3011.51;0;18069.06;C/U;0.0
2068;A;1;RES;30000;17.0;0;510000.0;;0.0
2069;A;1;65;1;1344.0;0;1344.0;C/U;0.0
2069;A;2;75;1;1588.0;0;1588.0;C/U;0.0
2069;A;3;100;2;2540.0;0;5080.0;C/U;0.0
2070;A;1;75;2;1450.0;0;2900.0;C/U;0.0
